Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,TLAQUEPAQUE,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUCEA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
CUCEI,ZAPOTLANEJO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,SAN JULIAN,Bicicleta,31 minutos a 1 hora
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,AUTLAN DE NAVARRO,Caminando,16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Hasta 15 minutos
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 2 horas
CUTONALA,AYOTLAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TONALA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,Caminando,Hasta 15 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUVALLES,TECOLOTLAN,Transporte escolar,Mas de 1 hora y hasta 2
CUCSH,GUASAVE,Caminando,16 a 30 minutos
CUCI,LA BARCA,"Camion, combi o colectivo",Hasta 15 minutos
CUCEA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TLAQUEPAQUE,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
SEMS,TLAQUEPAQUE,Caminando,Hasta 15 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUVALLES,AMECA,Transporte escolar,Hasta 15 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUVALLES,SAN MARCOS,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEA,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
